pricepercent,sugarpercent,winpercent,attribute
0.86000001,0.73199999,66.971725,caramel
0.76700002,0.60399997,56.914547,caramel
0.32499999,0.60399997,34.517681,caramel
0.51099998,0.30199999,55.064072,caramel
0.65100002,0.60399997,73.099556,caramel
0.44100001,0.73199999,60.800701,caramel
0.86000001,0.96499997,64.35334,caramel
0.86000001,0.86000001,65.716286,caramel
0.65100002,0.546,76.673782,caramel
0.65100002,0.60399997,59.529251,caramel
0.76700002,0.96499997,33.43755,caramel
0.32499999,0.41800001,32.230995,caramel
0.90600002,0.546,81.642914,caramel
0.26699999,0.186,41.904308,caramel
0.86000001,0.73199999,66.971725,chocolate
0.51099998,0.60399997,67.602936,chocolate
0.76700002,0.465,50.347546,chocolate
0.76700002,0.60399997,56.914547,chocolate
0.51099998,0.60399997,38.975037,chocolate
0.093000002,0.127,55.375454,chocolate
0.91799998,0.43000001,62.284481,chocolate
0.91799998,0.43000001,56.490501,chocolate
0.91799998,0.43000001,59.236122,chocolate
0.51099998,0.197,57.21925,chocolate
0.51099998,0.31299999,76.7686,chocolate
0.65100002,0.82499999,71.46505,chocolate
0.65100002,0.82499999,66.574585,chocolate
0.51099998,0.30199999,55.064072,chocolate
0.65100002,0.60399997,73.099556,chocolate
0.44100001,0.73199999,60.800701,chocolate
0.86000001,0.96499997,64.35334,chocolate
0.86000001,0.31299999,47.829754,chocolate
0.91799998,0.31299999,54.526451,chocolate
0.76700002,0.60399997,70.735641,chocolate
0.76700002,0.31299999,66.47068,chocolate
0.65100002,0.59299999,69.483788,chocolate
0.27900001,0.034000002,81.866257,chocolate
0.65100002,0.72000003,84.18029,chocolate
0.65100002,0.40599999,73.43499,chocolate
0.65100002,0.98799998,72.887901,chocolate
0.86000001,0.86000001,65.716286,chocolate
0.081,0.22,34.722,chocolate
0.97600001,0.26699999,37.887188,chocolate
0.65100002,0.546,76.673782,chocolate
0.65100002,0.60399997,59.529251,chocolate
0.32499999,0.60399997,48.982651,chocolate
0.51099998,0.31299999,43.068897,chocolate
0.011,0.17399999,45.736748,chocolate
0.32499999,0.465,49.653503,chocolate
0.90600002,0.546,81.642914,chocolate
0.84799999,0.87199998,49.524113,chocolate
0.86000001,0.73199999,66.971725,crispedricewafer
0.91799998,0.43000001,62.284481,crispedricewafer
0.51099998,0.31299999,76.7686,crispedricewafer
0.76700002,0.31299999,66.47068,crispedricewafer
0.65100002,0.60399997,59.529251,crispedricewafer
0.90600002,0.546,81.642914,crispedricewafer
0.84799999,0.87199998,49.524113,crispedricewafer
0.51099998,0.90600002,52.341465,fruity
0.32499999,0.60399997,34.517681,fruity
0.51099998,0.73199999,36.017628,fruity
0.32499999,0.046,24.524988,fruity
0.51099998,0.73199999,42.272076,fruity
0.034000002,0.73199999,39.460556,fruity
0.034000002,0.127,43.088924,fruity
0.32499999,0.73199999,39.185505,fruity
0.45300001,0.90600002,46.783348,fruity
0.465,0.465,57.11974,fruity
0.465,0.465,51.41243,fruity
0.465,0.465,42.178772,fruity
0.51099998,0.093000002,28.127439,fruity
0.116,0.22,41.389557,fruity
0.104,0.046,39.141056,fruity
0.27900001,0.26699999,52.911392,fruity
0.32499999,0.87199998,46.411716,fruity
0.32499999,0.84799999,55.354046,fruity
0.97600001,0.197,22.445341,fruity
0.32499999,0.22,39.4468,fruity
0.83700001,0.60399997,41.265511,fruity
0.116,0.58099997,37.348522,fruity
0.96499997,0.73199999,35.290756,fruity
0.27900001,0.87199998,42.849144,fruity
0.22,0.94099998,63.08514,fruity
0.22,0.94099998,55.103695,fruity
0.116,0.26699999,45.995827,fruity
0.116,0.068999998,59.863998,fruity
0.116,0.068999998,52.825947,fruity
0.22,0.15099999,67.037628,fruity
0.057999998,0.56900001,34.578991,fruity
0.116,0.162,27.303865,fruity
0.755,0.60399997,54.861111,fruity
0.32499999,0.60399997,48.982651,fruity
0.255,0.31299999,47.173229,fruity
0.116,0.22,45.466282,fruity
0.116,0.093000002,39.011898,fruity
0.31299999,0.31299999,44.375519,fruity
0.51099998,0.60399997,67.602936,nougat
0.76700002,0.60399997,56.914547,nougat
0.51099998,0.60399997,38.975037,nougat
0.65100002,0.60399997,73.099556,nougat
0.44100001,0.73199999,60.800701,nougat
0.76700002,0.465,46.296597,nougat
0.65100002,0.546,76.673782,nougat
0.76700002,0.465,50.347546,peanutyalmondy
0.76700002,0.60399997,56.914547,peanutyalmondy
0.51099998,0.31299999,23.417824,peanutyalmondy
0.65100002,0.82499999,71.46505,peanutyalmondy
0.91799998,0.31299999,54.526451,peanutyalmondy
0.76700002,0.60399997,70.735641,peanutyalmondy
0.76700002,0.465,46.296597,peanutyalmondy
0.65100002,0.59299999,69.483788,peanutyalmondy
0.27900001,0.034000002,81.866257,peanutyalmondy
0.65100002,0.72000003,84.18029,peanutyalmondy
0.65100002,0.40599999,73.43499,peanutyalmondy
0.65100002,0.98799998,72.887901,peanutyalmondy
0.65100002,0.546,76.673782,peanutyalmondy
0.65100002,0.60399997,59.529251,peanutyalmondy